,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_at,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,inv_turn,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,PEG_trailing,divyield
count,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0,4711.0
mean,29.51744934663141,0.5729295266397793,12.408007784104637,12.859925493525791,13.305629802589683,16.069561876459353,17.19259806835067,3.698134492811151,13.59503972697095,0.48599237437648407,0.1282968696508583,0.29454171316023303,0.22749283061761674,0.4330297696653113,0.17060291837550143,0.21829368806556024,0.14328871043645847,0.5456286256453228,0.20800769941256655,0.28768690186530094,0.07628514883032327,0.196404266041569,0.08060265649539748,-1.7530880917002758,0.26193493950329017,0.24050804240620505,0.31827348324343785,0.6606183885488943,0.8780339935830042,0.6566412401569268,0.39546147314795166,0.08120186796858417,0.27036219721270766,0.15168202080237742,0.30373296540012734,0.3398043166392841,3.9177351942262786,0.1900100125846377,0.3313385693058799,0.38818748248864043,0.8688078964126512,0.6464650817236256,0.1721532849012412,0.5870560512105472,31.892153579560148,2.8615843852550142,0.7180302023500328,0.7031266962395544,3.3716680696691053,12.83745048513219,19.05915240925493,0.6756191891318192,1.2197259605179365,1.4185598599023561,115.49163330503077,27.607909148800683,0.6437841467114249,26.850715833529733,8.841090794396619,1.304365131464505,4.457697940989174,12.068366376565484,0.015087010625365806,0.01997360239202088,0.0712740913126438,-0.041671705111777584,6.738839312247932,1.7677740394820634,0.012582627892167268
std,136.87683985643062,0.5066990246824932,127.48972621539298,53.44147357369376,53.37570765706941,83.40937187058711,83.22827104480979,6.75962752100722,34.02768288236623,2.8500744091719996,0.19681667399617903,0.1884370374095706,0.19869031171506482,0.20383355023026553,0.21561080413720615,0.21396801236064367,0.12067193713633174,2.349842826236491,0.299334929514328,1.3535522404530396,2.0290643887572593,0.5794343139780143,1.9786031620362174,103.67021311106585,0.21169901008835898,0.20609663824931268,1.5179236705413326,1.5181790919586138,2.2495527928797623,1.486380337409316,3.023461779801228,0.22704576688363895,0.37523627518981073,0.4193307310837567,0.2462711717521869,0.21046111752483412,43.9425340190017,0.23321825563478976,0.1643018052954542,0.22259294986830608,0.5330766542924795,0.42887755652847787,0.18315793812580874,2.207897217204621,77.01432678078844,60.976131998107306,0.2536984977038631,0.6168529816320514,33.03668815102349,32.703214961632625,43.34138623765768,0.7883762059494731,0.7348113319553947,0.8216890323247283,316.0374283739127,128.9044171785818,0.704260636685835,70.08852746064161,12.117603845902703,2.2376725315816044,13.560572943942185,34.9855790113441,0.044578108859465025,0.028887155494739074,0.1240248251427798,0.05885652417693512,11.533648505364589,7.267780221894541,0.01517728072779101
min,-2615.3,0.003,-4544.9,-714.52,-714.52,-2125.0,-2125.0,-3.0498802613024716,-614.44,-52.532829450804336,-2.421,-0.902,-0.919,-0.366,-0.997,-2.353,-0.343,-2.127465105835258,-0.27,-10.480628990958046,-47.644,-0.922,-47.644,-4068.0,-0.448,-0.087,-32.809,-2.000765335276685,-1.9134417883676726,-8.939,0.0,0.0,0.0,0.0,0.005,-0.1391830314136009,-1589.8,0.0,0.038,-0.04109190111377614,-1.016,-1.476,-0.284,-37.792,-42.029653403349855,-257.0683389964437,0.16,-1.139,-855.7,-176.67,-81.876,0.001,0.154,0.167,0.35,0.011,-0.07370686653007869,-7.681663192838457,-9.511197259645037,0.113,0.12,-172.25,0.0,-0.011493993724869388,0.0,-0.267,0.222,-77.522,0.0
25%,11.725999999999999,0.175,9.081,8.959,9.173,8.1625,8.118500000000001,1.19,5.574,0.0,0.049,0.189,0.118,0.261,0.068,0.116,0.056,0.062,0.064,0.191,0.0445,0.05,0.046,0.154,0.119,0.065,0.332,0.307,0.3345,0.313,0.033,0.025,0.054,0.001,0.172,0.191,1.353,0.025,0.223,0.194,0.598,0.433,0.054,0.359,2.172,0.376,0.531,0.416,0.941,2.023,3.266,0.222,0.843,1.075,24.715,5.057,0.231,3.316,1.792,0.383,0.7075,5.194,0.0,0.0,0.0,-0.071,1.1245,0.1575,0.0
50%,21.13,0.418,12.478,15.613,15.915,16.072,15.838,1.889,10.749,0.197,0.111,0.288,0.217,0.405,0.156,0.192,0.129,0.135,0.12,0.263,0.12,0.097,0.12,0.29,0.2105,0.204,0.478,0.492,0.607,0.496,0.047,0.04,0.178,0.08,0.259,0.327,3.104,0.092,0.302,0.403,0.826,0.605,0.126,0.799865376610049,6.987,0.899,0.721,0.657,2.273,4.401,6.51,0.495,1.116,1.298,46.891,8.947,0.446,7.639,4.234,0.716,1.463,6.851,0.0,0.006,0.0,-0.036,2.427,0.567,0.00799
75%,35.7815,0.896,17.984,24.9195,25.8095,27.5255,27.727,3.921,19.813,0.371,0.199,0.382,0.329,0.589,0.254,0.276,0.202,0.311,0.233,0.356,0.274,0.18,0.273,0.714,0.377,0.357,0.681,0.635,0.863,0.649,0.063,0.054,0.344,0.141,0.4005,0.467,5.362,0.26,0.402,0.555,1.025,0.751,0.223,0.918,23.200499999999998,1.492,0.87,0.851,5.009,12.216,15.391,0.759,1.4092500000000001,1.5554999999999999,65.424,16.727,0.733,17.263,10.905,1.236,2.844,8.64,0.004,0.032,0.148,-0.012,5.988,1.388,0.02045
max,1447.0,3.614,1223.88,478.0,490.5,758.328,774.0,126.556,400.801,66.0,1.799,0.707,0.677,0.998,1.887,2.054,0.911,70.8876209016714,2.498,57.37512235948062,28.033,13.604,28.033,411.24,0.928,0.997,2.8468681231981554,33.809,51.018,33.809,32.0,1.592,4.439,5.389,2.824,1.35,486.067,1.064077998163449,0.894,0.945,5.553,4.499,1.554,60.120158282156844,756.67,2389.5457516322613,2.059,9.086,408.333,713.226,941.755,6.762,6.026,6.223,2540.13,4082.0,4.025,537.152,77.108,44.562,152.413,977.032,0.465,0.204,0.905,0.757,64.657,63.498,0.273
