date,TICKER,RET,Size,bm,Momentum,r2_1,r12_2,r12_7,ShortTermReversal,market_cap,DollarVolume,spread,idio_vol,Beta,BetaSquared,pe_op_basic,pe_op_dil,Volatility,SUV,52_week_high,Rel_to_high,TB3MS,T10Y2Y,BAA10Y,roa,roe,roce,debt_assets,debt_capital,de_ratio,cash_ratio,quick_ratio,curr_ratio,at_turn,inv_turn,accrual,vwretd,ewretd,sprtrn,LME,LTurnover
2014-07-31,AAPL,-0.025981,0.8917800118273211,-0.0907746895328208,0.0280898876404493,0.5422826729745713,-0.1916026020106446,-0.4476641040804258,-0.1709047900650502,0.8823181549379067,0.8994677705499705,0.2885866351271438,-0.657599053814311,0.3616203429923121,-0.066528681253696,-0.3146067415730337,-0.3217031342400946,-0.7486694263749261,0.1632170313424008,0.1448846836191601,0.8577764636309875,-0.6336487285629805,0.914843287995269,-0.015966883500887,0.767297457125961,0.3503843879361323,0.7362507392075694,-0.872856298048492,-0.9136605558840922,-0.7205795387344767,0.6451803666469544,0.6998817267888824,0.6824364281490243,0.6590774689532821,0.8923713778829094,-0.686280307510349,0.273211117681845,0.3897102306327618,0.1017149615612063,0.8917800118273211,-0.0904790065050266
2014-07-31,AMZN,-0.029519,0.5056179775280898,-0.7395032525133057,-0.8075103489059727,-0.3524541691306919,-0.1986989946777054,-0.2347723240685985,-0.185097575399172,0.550561797752809,0.5464222353636901,0.2176227084565345,0.8125369603784742,-0.437906564163217,0.6738616203429924,0.9183914843287996,0.9231224127735068,0.3004139562389119,-0.6635127143701951,0.7356593731519812,0.8577764636309875,-0.6336487285629805,0.914843287995269,-0.015966883500887,0.0549970431697219,-0.752808988764045,-0.5547013601419278,-0.069485511531638,-0.2214665878178592,0.0470136014192785,0.3072146658781787,-0.5280898876404494,-0.3941454760496747,0.92193968066233,-0.205204021289178,-0.942046126552336,0.273211117681845,0.3897102306327618,0.1017149615612063,0.4884683619160259,-0.6646954464813719
2014-07-31,AXP,-0.03201,0.3790656416321702,-0.2179183914843288,-0.1564163217031342,0.3004139562389119,-0.10408042578356,0.0768775872264933,0.2128917800118273,0.3429923122412772,-0.0100532229450029,-0.8947368421052632,-0.2465996451803667,0.3151981076286221,0.1277350680070963,0.0280898876404493,0.0171496156120638,-0.8882318154937907,-0.3406268480189237,0.1762270845653459,0.8577764636309875,-0.6336487285629805,0.914843287995269,-0.015966883500887,-0.4136605558840922,0.3054405677114133,-0.0221762270845653,0.5348905972797162,0.5328208160851566,0.6729745712596098,0.031933767001774,0.0688941454760496,0.0617977528089888,-0.5065050266114726,0.0277942046126551,0.728267297457126,0.273211117681845,0.3897102306327618,0.1017149615612063,0.368421052631579,-0.5842696629213483
2014-07-31,BAC,-0.021181,0.5363690124186871,0.9053814311058546,-0.0286812536960378,-0.4482554701360142,-0.2247191011235955,-0.0620934358367829,0.0248373743347132,0.5872264931992903,0.4772324068598461,-0.7652276759314015,0.0845653459491424,0.5993494973388527,0.359846244825547,0.2519219396806622,0.2850384387936133,-0.5582495564754584,-0.8746303962152573,-0.905972797161443,0.8577764636309875,-0.6336487285629805,0.914843287995269,-0.015966883500887,-0.8820224719101124,-0.6413364872856298,-0.6933767001774098,0.6451803666469544,0.6330573625073921,0.7841513897102306,0.031933767001774,0.0688941454760496,0.0617977528089888,-0.9180958013010052,-0.8261383796570076,0.3010053222945004,0.273211117681845,0.3897102306327618,0.1017149615612063,0.5280898876404494,0.716735659373152
2014-07-31,BYI,-0.010362,-0.9183914843287996,-0.7531046717918392,0.0,0.096984033116499,0.4861028976936723,0.5192193968066232,-0.3560023654642223,-0.9101123595505618,-0.89591957421644,0.0372560615020698,-0.5996451803666469,0.404494382022472,0.015966883500887,0.1265523358959195,0.1295091661738616,-0.0585452395032525,-0.6475458308693081,-0.1916026020106446,0.8577764636309875,-0.6336487285629805,0.914843287995269,-0.015966883500887,0.8586635127143702,0.7397989355410999,0.6771141336487285,0.3302779420461266,0.2829686575990537,0.4659964518036665,-0.361324659964518,0.8302779420461266,0.8562980484920166,0.6954464813719692,-0.5671200473092844,-0.5925487876995861,0.273211117681845,0.3897102306327618,0.1017149615612063,-0.9302188054405676,0.6185688941454761
2014-07-31,C,-0.0216,0.4861028976936723,0.8320520402128917,-0.235659373151981,-0.2693672383205204,-0.4772324068598462,-0.5168539325842696,0.4145476049674748,0.4866942637492608,0.3678296865759904,-0.8480189237137788,-0.7486694263749261,-0.1194559432288586,-0.2726197516262566,-0.4104080425783559,-0.4175044352454169,-0.7468953282081608,-0.8764044943820225,-0.4470727380248374,0.8577764636309875,-0.6336487285629805,0.914843287995269,-0.015966883500887,-0.8982850384387936,-0.4727971614429331,-0.7764636309875813,0.6614429331756357,0.6330573625073921,0.7989355410999408,0.031933767001774,0.0688941454760496,0.0617977528089888,-0.8625073920756948,-0.9281490242460084,0.1306918982850384,0.273211117681845,0.3897102306327618,0.1017149615612063,0.4931992903607334,0.1703134240094619
2014-07-31,CB,-0.013538,-0.205204021289178,0.3489059727971615,0.1150206978119456,-0.0851567120047309,-0.2406859846244825,-0.117090479006505,-0.0851567120047309,-0.2513305736250739,-0.544648137196925,-0.9929036073329393,0.1771141336487285,0.0008870490833825,0.015966883500887,-0.3755174452986398,-0.3778829095209934,-0.9822590183323476,0.0289769367238319,0.1377882909520993,0.8577764636309875,-0.6336487285629805,0.914843287995269,-0.015966883500887,-0.5316380839739798,-0.1354228267297457,0.1132465996451803,-0.133057362507392,-0.446481371969249,-0.0337078651685393,0.031933767001774,0.0688941454760496,0.0617977528089888,-0.3382613837965701,0.0277942046126551,0.7548787699586044,0.273211117681845,0.3897102306327618,0.1017149615612063,-0.2028385570668244,-0.475458308693081
2014-07-31,CBS,-0.015249,-0.0047309284447072,-0.079538734476641,0.0434654050857481,-0.706682436428149,-0.002956830277942,-0.6451803666469544,-0.4447072738024837,-0.0053222945002956,0.475458308693081,-0.5925487876995861,0.9964518036664696,0.2312241277350679,-0.5316380839739798,0.2111176818450622,0.2117090479006504,0.3098758131283263,0.1850975753991721,-0.2223536369012418,0.8577764636309875,-0.6336487285629805,0.914843287995269,-0.015966883500887,0.0396215257244234,0.0198107628622117,0.3849793021880543,-0.4041986989946777,-0.6120638675340035,-0.2590183323477232,-0.71377882909521,0.3388527498521585,-0.1771141336487285,0.2069781194559432,0.3512714370195151,0.7548787699586044,0.273211117681845,0.3897102306327618,0.1017149615612063,-0.0206978119455942,0.6522767593140153
2014-07-31,CHTR,-0.044817,-0.368421052631579,-0.5934358367829686,0.0848610289769367,0.7397989355410999,0.6008279124778237,0.3317563571850976,0.2507392075694854,-0.4316972205795387,-0.1241868716735659,0.1058545239503252,-0.8710821998817267,0.0748078060319337,0.6176818450620933,-0.937906564163217,-0.9361324659964518,-0.8492016558249557,0.5257244234180958,0.5062093435836783,0.8577764636309875,-0.6336487285629805,0.914843287995269,-0.015966883500887,0.3764044943820224,-0.9621525724423418,-0.3622117090479007,0.8391484328799528,0.8332347723240685,0.9911295091661738,-0.8666469544648137,-0.8911886457717327,-0.9515079834417504,0.1135422826729746,0.0277942046126551,-0.8882318154937907,0.273211117681845,0.3897102306327618,0.1017149615612063,-0.4104080425783559,-0.2276759314015375
2014-07-31,COF,-0.024767,0.1218214074512122,0.657599053814311,0.3740390301596688,0.2791247782377291,0.3122412773506799,0.5830869308101716,0.1995860437610881,0.0597279716144294,-0.1413364872856297,-0.930810171496156,-0.1874630396215257,-0.1194559432288586,-0.2726197516262566,-0.5612063867534003,-0.5623891188645771,-0.8409225310467179,-0.7664104080425783,0.05204021289178,0.8577764636309875,-0.6336487285629805,0.914843287995269,-0.015966883500887,-0.7480780603193377,-0.1880544056771141,-0.1439976345357776,0.460969840331165,0.4727971614429331,0.595505617977528,0.031933767001774,0.0688941454760496,0.0617977528089888,-0.7430514488468363,-0.4707273802483738,-0.0777646363098758,0.273211117681845,0.3897102306327618,0.1017149615612063,0.1052631578947369,-0.1123595505617978
