date,TICKER,bm,pe_op_basic,pe_op_dil,roa,roe,roce,debt_assets,debt_capital,de_ratio,cash_ratio,quick_ratio,curr_ratio,inv_turn,at_turn,accrual,RET,vwretd,ewretd,sprtrn,market_cap,LME,LTurnover,DollarVolume,spread,Volatility,Beta,BetaSquared,idio_vol,r2_1,r12_2,r12_7,52_week_high,Rel_to_high,SUV,TB3MS,T10Y2Y,BAA10Y,Size,Momentum,ShortTermReversal
2014-07-31,AAPL,0.327,12.506,12.594,0.291,0.272,0.379,0.403,0.241,0.675,0.929,1.638,1.679,78.16,0.892,-0.087,0.001637,0.001035,0.002778,-0.000372,446529702.31989,545254173.0,1.565409743319837,4608308372.04,0.023989191482008,0.0090161568383768,0.0149869373860118,0.0203270823859371,0.0113318632226969,0.011881,-0.0030849999999999,-0.0148929999999999,92.93,1.0,0.518170736216454,0.04,2.146190476190476,2.2,20.137310084754205,-0.0071526481906919,-0.003746
2014-08-31,AAPL,0.296,0.463,0.466,0.284,0.258,0.362,0.381,0.206,0.615,0.963,1.645,1.685,59.513,0.842,-0.078,-0.00271,-0.019359,-0.016042,-0.019999,469400282.44011,560107271.92,1.7838507391182523,5453277053.2,0.010042735042735,0.0127463262694951,0.0149869373860118,0.0203270823859371,0.0110720296032215,-0.002338,0.030061,0.02009,95.6,1.0,0.6863301971723311,0.03,2.0359090909090907,2.1922727272727274,20.165418633243497,-0.0071526481906919,0.010328
2014-09-30,AAPL,0.296,0.472,0.475,0.284,0.258,0.362,0.381,0.206,0.615,0.963,1.645,1.685,59.513,0.842,-0.078,-0.000224,0.0038,0.005008,0.00332,462533002.68255,572440085.1999999,1.6387191642462569,4571188912.5,0.0219939827782965,0.0064846699909945,0.0149869373860118,0.0203270823859371,0.0131145949217924,0.001175,0.050546,0.033953,102.5,1.0,0.1297125226303457,0.03,1.9476190476190476,2.2704761904761903,20.23510861176461,-0.0071526481906919,-0.025981
2014-10-31,AAPL,0.296,0.519,0.523,0.284,0.258,0.362,0.381,0.206,0.615,0.963,1.645,1.685,59.513,0.842,-0.078,-0.003782,-0.004091,-0.006147,-0.002786,508292340.13143,613756367.5,2.490185604469513,5568108438.75,0.0068259385665529,0.0175032210963401,0.0149869373860118,0.0203270823859371,0.0131635690099416,-0.006352,-0.0139239999999999,-0.0058289999999999,100.75,1.0,-0.5802185785394748,0.02,1.9676190476190476,2.268095238095238,20.1973531752704,-0.0071526481906919,0.002445
2014-11-30,AAPL,0.302,0.537,0.54,0.28,0.26,0.357,0.407,0.237,0.687,0.934,1.61,1.652,54.959,0.84,-0.079,-0.003746,0.011527,0.009145,0.011731,545254173.0,586029483.9,2.1530011623362286,4821042780.0,0.0219913245233531,0.0122351676223649,0.0149869373860118,0.0203270823859371,0.0131635690099416,-0.003354,0.09348,0.07303,108.0,1.0,-0.8795332433772313,0.02,1.8586363636363636,2.3836363636363633,20.26661698634441,-0.0071526481906919,0.006393
2014-12-31,AAPL,0.302,0.551,0.555,0.28,0.26,0.357,0.407,0.237,0.687,0.934,1.61,1.652,54.959,0.84,-0.079,0.010328,-0.006097,-0.013253,-0.002542,556573661.0300001,629531925.6,1.4401799799682788,2951176829.86,0.0094511767182894,0.008310178863741,0.0149869373860118,0.0203270823859371,0.011914052743985,0.011905,0.082133,0.044688,118.93,1.0,-2.0044611435869872,0.02,1.7983333333333331,2.4594444444444448,20.36302084395934,-0.0071526481906919,0.009534
2015-01-31,AAPL,0.302,0.567,0.571,0.28,0.26,0.357,0.407,0.237,0.687,0.934,1.61,1.652,54.959,0.84,-0.079,-0.025981,-0.008784,-0.001034,-0.010311,572440085.1999999,674867138.8,1.4711006625175451,4570101883.38,0.0692347735554399,0.0152197288421623,0.0149869373860118,0.0203270823859371,0.0131856371414718,-0.012203,0.026364,0.029843,647.34998,0.1705105482508858,-0.1237972911020341,0.03,1.5718181818181818,2.5304545454545457,20.28184209091069,-0.0071526481906919,-0.000588
2015-02-28,AAPL,0.254,4.102,4.126,0.282,0.272,0.364,0.426,0.26,0.741,0.859,1.524,1.563,55.813,0.828,-0.084,0.002445,-0.012152,-0.009641,-0.012992,613756367.5,655588665.88,2.0556749363429065,9812614070.76,0.0160155731540061,0.0239247567009572,0.0149869373860118,0.0203270823859371,0.0312795815910017,0.031134,0.079562,0.020686,647.34998,0.1809840173317067,0.9829149008411128,0.03,1.33,2.573,20.341166816637177,-0.0276273859439628,-0.019019
2015-03-31,AAPL,0.254,4.032,4.056,0.282,0.272,0.364,0.426,0.26,0.741,0.859,1.524,1.563,55.813,0.828,-0.084,0.006393,-0.002605,-0.001387,-0.002956,591015720.75,671651691.88,1.9437599201838256,7966440840.229481,0.0240757400505505,0.0132112695688587,0.0149869373860118,0.0203270823859371,0.0133752574600121,0.012617,0.067765,0.05176,647.34998,0.1984398145806693,0.1802256017099031,0.02,1.356315789473684,2.531578947368421,20.433243944352533,-0.0392534636645901,-0.014634
2015-04-30,AAPL,0.254,4.322,4.348,0.282,0.272,0.364,0.426,0.26,0.741,0.859,1.524,1.563,55.813,0.828,-0.084,0.009534,-0.007119,-0.003535,-0.008796,633402720.0,751916719.32,1.4507283731986904,5263971705.690001,0.0153144094670894,0.014400423862457,0.0149869373860118,0.0203270823859371,0.0139419871768466,0.025314,0.023394,0.029293,647.34998,0.1922144185437373,-0.635031875239872,0.03,1.4022727272727271,2.496363636363637,20.401369603465184,-0.0534439864437574,-0.014991
2015-05-31,AAPL,0.223,18.325,18.439,0.275,0.291,0.365,0.519,0.37,1.078,0.395,1.047,1.08,53.838,0.833,-0.092,-0.000588,-0.010676,-0.011719,-0.010129,697505421.2,724773393.64,1.3745135248367366,10411907188.45,0.0170224640714384,0.0127126142297822,0.0149869373860118,0.0203270823859371,0.0163601859928878,-0.014706,0.019245,0.018647,647.34998,0.1933266453487803,1.5570541556159687,0.02,1.395,2.549090909090909,20.396356458476948,-0.0644372159144615,-0.015352
