,TICKER,date,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_at,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,inv_turn,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,PEG_trailing,divyield,COMNAM,SHRCD,EXCHCD,SICCD,PRC,VOL,RET,SHROUT,BIDLO,ASKHI,OPENPRC,vwretd,ewretd,sprtrn,TICKER_encoded,SHRCD_encoded,EXCHCD_encoded,SICCD_encoded,market_cap,RET_calc,RET_interp,LME,LTurnover,DollarVolume,spread,Volatility,Beta,BetaSquared,r2_1,r12_2,r12_7,r36_13,RET_lag_1_mon,52_week_high,Rel_to_high,SUV,idio_vol,TB3MS,T10Y2Y,BAA10Y
10,AAPL,2014-11-30,22.043,0.223,10.361,18.325,18.439,18.439,18.439,3.816,11.681,0.284,0.216,0.331,0.287,0.429,0.293,0.26,0.275,0.291,0.365,0.261,0.336,0.254,0.336,1.46,0.587,0.339,0.794,0.206,0.251,0.206,0.017,0.015,0.208,0.031,0.397,0.152,0.584,0.179,0.527,0.241,0.953,0.941,0.496,0.84,5.833,0.22,0.519,0.37,1.078,103.891,136.727,0.395,1.047,1.08,51.691,53.838,0.833,7.639,3.982,1.301,1.639,35.962,0.033,0.007,0.0,-0.092,5.292,0.876,0.0158,APPLE INC,11,3,3571,118.93,24814402.0,-0.000588,5864840.0,118.05,119.4,119.27,-0.006097,-0.013253,-0.002542,0.0,0.0,1.0,10.0,697505421.2,-0.0005882352941175562,-0.000588,629531925.6,1.4401799799682788,2951176829.86,0.009451176718289477,0.00831017886374105,,,0.011905,0.082133,0.04468800000000002,0.090406,0.011905,,,-2.0044611435869872,,0.02,1.7983333333333331,2.4594444444444448
11,AAPL,2014-12-31,20.324,0.223,10.361,17.008,17.113,17.113,17.113,3.518,10.77,0.284,0.216,0.331,0.287,0.429,0.293,0.26,0.275,0.291,0.365,0.261,0.336,0.254,0.336,1.46,0.587,0.339,0.794,0.206,0.251,0.206,0.017,0.015,0.208,0.031,0.397,0.152,0.584,0.179,0.527,0.241,0.953,0.941,0.496,0.84,5.833,0.22,0.519,0.37,1.078,103.891,136.727,0.395,1.047,1.08,51.691,53.838,0.833,7.639,3.982,1.301,1.639,35.962,0.033,0.007,0.0,-0.092,4.879,0.813,0.017,APPLE INC,11,3,3571,110.38,41403351.0,-0.019019,5826419.0,110.21,113.13,112.82,-0.008784,-0.001034,-0.010311,0.0,0.0,1.0,10.0,643120129.22,-0.019018841094916472,-0.019019,674867138.8,1.4711006625175451,4570101883.38,0.06923477355543992,0.015219728842162314,0.2784782970802747,0.07755016194472975,-0.012203,0.026364000000000005,0.029843000000000015,0.008710000000000006,-0.012203,647.34998,0.17051054825088588,-0.12379729110203416,,0.03,1.5718181818181818,2.5304545454545457
12,AAPL,2015-01-31,21.566,0.223,10.361,18.052,18.164,18.164,18.164,3.733,11.428,0.284,0.216,0.331,0.287,0.429,0.293,0.26,0.275,0.291,0.365,0.261,0.336,0.254,0.336,1.46,0.587,0.339,0.794,0.206,0.251,0.206,0.017,0.015,0.208,0.031,0.397,0.152,0.584,0.179,0.527,0.241,0.953,0.941,0.496,0.84,5.833,0.22,0.519,0.37,1.078,103.891,136.727,0.395,1.047,1.08,51.691,53.838,0.833,7.639,3.982,1.301,1.639,35.962,0.033,0.007,0.0,-0.092,5.178,0.863,0.016,APPLE INC,11,3,3571,117.16,83753961.0,-0.014634,5824748.0,116.85,120.0,118.4,-0.012152,-0.009641,-0.012992,0.0,0.0,1.0,10.0,682427475.68,-0.014634146341463539,-0.014634,655588665.88,2.0556749363429065,9812614070.76,0.016015573154006126,0.023924756700957273,-0.053929539844848065,0.002908395267877055,0.031134,0.079562,0.02068600000000002,-0.016082999999999993,0.031134,647.34998,0.18098401733170671,0.9829149008411128,0.022863764430034964,0.03,1.33,2.573
13,AAPL,2015-02-28,23.765,0.228,8.768,4.299,4.328,4.328,4.328,3.745,10.574,0.251,0.223,0.339,0.297,0.434,0.301,0.264,0.306,0.317,0.407,0.261,0.369,0.275,0.369,1.586,0.666,0.377,0.816,0.184,0.205,0.184,0.016,0.014,0.306,0.027,0.309,0.13,0.442,0.102,0.508,0.241,1.195,1.25,0.496,0.847,6.053,0.192,0.484,0.323,0.938,104.16,137.555,0.604,1.248,1.282,51.691,57.818,0.867,8.894,4.205,1.37,1.679,12.497,0.033,0.007,0.0,-0.115,5.101,0.863,0.0146,APPLE INC,11,3,3571,128.46001,62014948.0,-0.014991,5824748.0,128.24001,130.57001,130.0,-0.002605,-0.001387,-0.002956,0.0,0.0,1.0,10.0,748247186.3274801,-0.01499045470156446,-0.014991,671651691.88,1.9437599201838254,7966440840.229481,0.024075740050550506,0.013211269568858727,0.008089823335219615,6.544524159506383e-05,0.012617,0.067765,0.05176000000000002,0.147611,0.012617,647.34998,0.19843981458066937,0.18022560170990318,0.01855704415458731,0.02,1.3563157894736841,2.531578947368421
14,AAPL,2015-03-31,23.019,0.228,8.768,4.164,4.192,4.192,4.192,3.627,10.242,0.251,0.223,0.339,0.297,0.434,0.301,0.264,0.306,0.317,0.407,0.261,0.369,0.275,0.369,1.586,0.666,0.377,0.816,0.184,0.205,0.184,0.016,0.014,0.306,0.027,0.309,0.13,0.442,0.102,0.508,0.241,1.195,1.25,0.496,0.847,6.053,0.192,0.484,0.323,0.938,104.16,137.555,0.604,1.248,1.282,51.691,57.818,0.867,8.894,4.205,1.37,1.679,12.497,0.033,0.007,0.0,-0.115,4.941,0.863,0.0151,APPLE INC,11,3,3571,124.43,42304683.0,-0.015352,5824748.0,124.355,126.49,126.09,-0.007119,-0.003535,-0.008796,0.0,0.0,1.0,10.0,724773393.64,-0.015351744876157314,-0.015352,751916719.32,1.4507283731986904,5263971705.690001,0.015314409467089406,0.014400423862457004,-0.019399293142309378,0.00037633257442125167,0.025314,0.023394,0.02929300000000002,0.040733000000000005,0.025314,647.34998,0.19221441854373736,-0.635031875239872,0.01690216590645664,0.03,1.4022727272727273,2.4963636363636366
15,AAPL,2015-04-30,22.904,0.228,8.768,4.188,4.217,4.217,4.217,3.609,10.191,0.251,0.223,0.339,0.297,0.434,0.301,0.264,0.306,0.317,0.407,0.261,0.369,0.275,0.369,1.586,0.666,0.377,0.816,0.184,0.205,0.184,0.016,0.014,0.306,0.027,0.309,0.13,0.442,0.102,0.508,0.241,1.195,1.25,0.496,0.847,6.053,0.192,0.484,0.323,0.938,104.16,137.555,0.604,1.248,1.282,51.691,57.818,0.867,8.894,4.205,1.37,1.679,12.497,0.033,0.007,0.0,-0.115,4.916,0.863,0.015,APPLE INC,11,3,3571,125.15,83195423.0,-0.02713,5762278.0,124.58,127.88,127.5,-0.010676,-0.011719,-0.010129,0.0,0.0,1.0,10.0,721149091.7,-0.02712997512437798,-0.027130,724773393.64,1.3745135248367366,10411907188.45,0.017022464071438464,0.012712614229782284,-0.04078295036359682,0.0016632490403596018,-0.014706,0.019245,0.018647000000000018,0.016174000000000008,-0.014706,647.34998,0.1933266453487803,1.5570541556159687,0.015892798782387134,0.02,1.395,2.549090909090909
16,AAPL,2015-05-31,22.52,0.213,9.098,3.996,4.026,4.026,4.026,3.538,9.838,0.235,0.225,0.344,0.302,0.439,0.306,0.268,0.316,0.342,0.43,0.261,0.402,0.29,0.402,1.859,0.703,0.381,0.788,0.212,0.238,0.212,0.016,0.014,0.261,0.029,0.32,0.15,0.502,0.109,0.491,0.265,1.206,1.261,0.496,0.845,6.255,0.228,0.504,0.348,1.016,94.925,125.68,0.531,1.155,1.189,51.691,56.801,0.868,9.205,4.276,1.379,1.75,18.537,0.033,0.007,0.0,-0.12,4.912,0.863,0.016,APPLE INC,11,3,3571,130.28,51248429.0,-0.011383,5762278.0,129.89999,131.45,131.23,-0.005829,-0.002778,-0.006318,0.0,0.0,1.0,10.0,750709577.84,-0.011382607375929554,-0.011383,741259441.92,1.400933677566666,6676645330.12,0.025318403940128457,0.013947412373098564,0.15075240002900828,0.022726286114506136,-0.002007,0.04676500000000001,0.033115000000000026,0.008546000000000005,-0.002007,647.34998,0.2012512613347111,0.43085790086678055,0.015503162808302537,0.02,1.5885,2.691
17,AAPL,2015-06-30,21.467,0.213,9.098,3.847,3.876,3.876,3.876,3.373,9.378,0.235,0.225,0.344,0.302,0.439,0.306,0.268,0.316,0.342,0.43,0.261,0.402,0.29,0.402,1.859,0.703,0.381,0.788,0.212,0.238,0.212,0.016,0.014,0.261,0.029,0.32,0.15,0.502,0.109,0.491,0.265,1.206,1.261,0.496,0.845,6.255,0.228,0.504,0.348,1.016,94.925,125.68,0.531,1.155,1.189,51.691,56.801,0.868,9.205,4.276,1.379,1.75,18.537,0.033,0.007,0.0,-0.12,4.682,0.863,0.0166,APPLE INC,11,3,3571,125.425,44372693.0,0.007187,5705400.0,124.86,126.12,125.57,0.002975,0.004032,0.002658,0.0,0.0,1.0,10.0,715599795.0,0.00718702320725928,0.007187,752178958.73,1.1257824872284965,5565445019.525,0.010250917992655867,0.007422435756223348,-0.05596114663409098,0.003131649932602232,-0.017515,-0.020636,0.003566000000000019,-0.002368999999999991,-0.017515,133.0,0.9430451127819549,0.5205408556982045,0.014417121246639554,0.02,1.675,2.7618181818181817
18,AAPL,2015-07-31,20.751,0.213,9.098,3.721,3.748,3.748,3.748,3.26,9.065,0.235,0.225,0.344,0.302,0.439,0.306,0.268,0.316,0.342,0.43,0.261,0.402,0.29,0.402,1.859,0.703,0.381,0.788,0.212,0.238,0.212,0.016,0.014,0.261,0.029,0.32,0.15,0.502,0.109,0.491,0.265,1.206,1.261,0.496,0.845,6.255,0.228,0.504,0.348,1.016,94.925,125.68,0.531,1.155,1.189,51.691,56.801,0.868,9.205,4.276,1.379,1.75,18.537,0.033,0.007,0.0,-0.12,4.526,0.68,0.0171,APPLE INC,11,3,3571,121.3,42885153.0,-0.008744,5702722.0,120.91,122.6425,122.6,-0.000764,0.002575,-0.002272,0.0,0.0,1.0,10.0,691740178.6,-0.008743973196044807,-0.008744,722303640.0,1.4256749183764323,5201969058.9,0.007511959830783243,0.016239589221778514,-0.0007698868662460691,5.927257868181927e-07,-0.005041,-0.034306,-0.011903999999999979,-0.01452299999999999,-0.005041,133.0,0.9120300751879699,-0.25373183587804143,0.014561942900842274,0.03,1.656818181818182,2.877272727272727
19,AAPL,2015-08-31,18.237,0.21,9.106,3.229,3.251,3.251,3.251,2.866,7.935,0.225,0.226,0.347,0.302,0.442,0.307,0.271,0.319,0.355,0.429,0.261,0.419,0.292,0.419,2.177,0.74,0.386,0.767,0.233,0.266,0.233,0.016,0.014,0.233,0.03,0.328,0.165,0.546,0.124,0.485,0.277,1.193,1.242,0.496,0.859,6.542,0.256,0.524,0.37,1.1,84.175,111.102,0.48,1.08,1.114,51.691,56.677,0.873,9.419,4.263,1.405,1.833,30.209,0.034,0.007,0.0,-0.121,4.281,0.68,0.0184,APPLE INC,11,3,3571,112.76,56229563.0,-0.004678,5702722.0,112.0,114.53,112.03,-0.007265,0.001207,-0.008392,0.0,0.0,1.0,10.0,643038932.72,-0.004678259334451429,-0.004678,691740178.6,2.324530667358867,6340445523.88,0.014226912062081085,0.027768641793965702,0.3498988891490891,0.12242923262776656,0.003277,-0.011595000000000003,-0.08272399999999999,-0.059031,0.003277,133.0,0.8478195488721805,-0.4654398513975656,0.01616734959927848,0.07,1.4695238095238095,3.020952380952381
20,AAPL,2015-09-30,98.551,0.221,5.178,33.5225,36.80166666666667,-9.685833333333335,-9.685833333333335,8.164,50.207,10.327,0.043,0.256,0.221,0.398,0.051,0.084,0.072,0.023,0.078,0.163,0.006,0.041,0.029,0.496,0.307,0.114,0.525,0.47,0.472,0.471,0.067,0.067,0.108,0.254,0.229,0.378,5.168,0.004,0.132,0.653,0.961,0.61,0.102,0.814,9.133,0.718,0.576,0.498,1.373,1.481,2.497,0.823,1.308,1.755,23.788,5.057,0.285,9.323,4.004,0.356,0.683,4.972,0.0,0.035,0.0,-0.034,4.53,-4.7095,0.031200000000000002,APPLE INC,11,3,3571,110.3,66473033.0,0.01137,5702722.0,108.73,111.54,110.17,0.01943,0.014167,0.019076,0.0,0.0,1.0,10.0,629010236.6,0.011369888134971529,0.011370,643038932.72,1.8802907156579294,7331975539.9,0.02233699730719994,0.0187890123027571,0.01583914223614781,0.0002508784267769214,-0.030061,-0.054494,-0.016182999999999982,-0.028224,-0.030061,133.0,0.8293233082706767,0.8414377760757998,0.016392396613705142,0.02,1.4595238095238094,3.1680952380952383
21,AAPL,2015-10-31,108.896,0.2,5.178,37.297000000000004,39.92033333333333,-53.05466666666667,-53.05466666666667,9.021,55.477,10.327,0.043,0.256,0.221,0.398,0.051,0.084,0.072,0.023,0.078,0.163,0.006,0.041,0.029,0.496,0.307,0.114,0.525,0.47,0.472,0.471,0.067,0.067,0.108,0.254,0.229,0.378,5.168,0.004,0.132,0.653,0.961,0.61,0.102,0.814,9.133,0.718,0.576,0.498,1.373,1.481,2.497,0.823,1.308,1.755,23.788,5.057,0.285,9.323,4.004,0.356,0.683,4.972,0.0,0.035,0.0,-0.034,5.005,-4.7095,0.0282,APPLE INC,11,3,3571,119.5,49365254.0,-0.008546,5575331.0,119.45,121.22,120.99,-0.004004,-0.001223,-0.00481,0.0,0.0,1.0,10.0,666252054.5,-0.008545590309466555,-0.008546,624904276.76,1.6815151281218765,5899147853.0,0.021297192642788017,0.0169147620208223,-0.234304884714681,0.054898779001159956,0.010564,0.09184099999999999,0.047319000000000014,-0.019200000000000002,0.010564,133.0,0.8984962406015038,0.1109332749108728,0.016476160656597894,0.02,1.4252380952380952,3.2714285714285714
22,AAPL,2015-11-30,16.69,0.233,8.318,12.748,12.831,12.831,12.831,2.822,8.116,0.218,0.228,0.35,0.305,0.446,0.31,0.277,0.313,0.388,0.431,0.264,0.462,0.337,0.462,2.502,0.709,0.358,0.691,0.309,0.373,0.309,0.018,0.015,0.243,0.026,0.339,0.222,0.789,0.171,0.471,0.312,1.014,1.008,0.475,0.862,7.615,0.373,0.589,0.456,1.434,73.843,97.176,0.516,1.08,1.109,51.691,58.112,0.895,8.12,3.953,1.352,1.958,26.655,0.035,0.008,0.0,-0.107,4.599,0.827,0.0176,APPLE INC,11,3,3571,118.3,39180335.0,0.004159,5575331.0,117.75,119.41,117.99,-0.003859,-0.000273,-0.004641,0.0,0.0,1.0,10.0,659561657.3,0.004159239453357166,0.004159,671994645.43,1.1921989132627009,4635033630.5,0.020254435888851705,0.014652957331380686,0.2629235355855292,0.06912878556479506,-0.001864,0.015856999999999993,0.023888000000000003,0.06638399999999998,-0.001864,133.0,0.8894736842105263,0.2601943109422965,0.016261499501318378,0.12,1.378421052631579,3.194736842105263
23,AAPL,2015-12-31,14.768,0.233,8.318,11.343,11.416,11.416,11.416,2.497,7.182,0.218,0.228,0.35,0.305,0.446,0.31,0.277,0.313,0.388,0.431,0.264,0.462,0.337,0.462,2.502,0.709,0.358,0.691,0.309,0.373,0.309,0.018,0.015,0.243,0.026,0.339,0.222,0.789,0.171,0.471,0.312,1.014,1.008,0.475,0.862,7.615,0.373,0.589,0.456,1.434,73.843,97.176,0.516,1.08,1.109,51.691,58.112,0.895,8.12,3.953,1.352,1.958,26.655,0.035,0.008,0.0,-0.107,4.069,0.736,0.019799999999999998,APPLE INC,11,3,3571,105.26,40917316.0,-0.019195,5544487.0,104.82,107.03,107.01,-0.008181,-0.002015,-0.009412,0.0,0.0,1.0,10.0,583612701.62,-0.01919493104733494,-0.019195,654209339.54,1.358766807922725,4306956682.16,0.016548563669537938,0.01599314429200014,0.04262187415527398,0.0018166241565080118,-0.013059,-0.045690999999999996,-0.046934999999999984,-0.06630900000000002,-0.013059,133.0,0.7914285714285715,0.0841958718338285,0.01609820718727848,0.23,1.26,3.2122727272727274
